"File";"Function";"Used";"Opmerking"
"hypervisor.py";"def isHypervisor()";;
"hypervisor.py";"def getVirshVersion()";;
"hypervisor.py";"def getGuestList()";;
"hypervisor.py";"def guest_migrate(guest_name, to_server_name)";;
"hypervisor.py";"def guest_create(guest_name, on_server_name)";;
"hypervisor.py";"def guest_shutdown(guest_name)";;
"hypervisor.py";"def guest_destroy(guest_name)";;
"nfs.py";"def isNfsServer()";;
"nfs.py";"def getShares()";;
"nfs.py";"def getMounts()";;
"nfs.py";"def lineToShare(line)";;
"nfs.py";"def shareToLine(share)";;
"nfs.py";"def check_if_mounted(mountpoint)";;
"nfs.py";"def mount(share)";;
"nfs.py";"def createShare(path)";;
"nfs.py";"def syncShare(primary_share, secondary_share)";;
"nfs.py";"def migrateShare(share_name, to_server)";;
"printer.py";"def getKeyLengths(keys, lst)";"cli";
"printer.py";"def printHeader(keys)";"cli";
"printer.py";"def printListOfDictionaries(keys, lst)";"cli";
"printer.py";"def printServerList(lst)";"cli";
"printer.py";"def printGuestList(lst)";"cli";
"printer.py";"def printShareList(lst)";"cli";
"printer.py";"def printMountList(lst)";"cli";
"scanner.py";"def getCloudPort()";"shared";"scanner.py, worker.py"
"scanner.py";"def portscan(ip, port)";;"Alleen gebruikt in scanner.py >scanNetwork, getFirstServer"
"scanner.py";"def scanNetwork(port)";;"Alleen gebruikt in scanner.py > scanCloud"
"scanner.py";"def scanCloud()";"daemon";
"scanner.py";"def handshake(ip)";"daemon";
"scanner.py";"def getFirstServer()";;"Alleen gebruikt in scanner.py > getFromSocket"
"scanner.py";"def getFromSocket(command='', ip=None)";"shared";
"scanner.py";"def getServers()";;
"scanner.py";"def getGuests()";;
"scanner.py";"def getShares()";;
"scanner.py";"def getMounts()";;
"server.py";"def getServerIP(name)";;
"server.py";"def getHostName()";;
"server.py";"def getLoadAvg()";;
"server.py";"def getServerProps()";;
"worker.py";"def run()";"daemon";
"worker.py";"def migrate(guest_name, to_server)";"daemon";
"worker.py";"def migrateAll(from_server, to_server)";"daemon";
"worker.py";"def doCommand(cmd)";"daemon";
"worker.py";"def getIPsToScan()";"daemon";
"worker.py";"def threaded_scanner()";"daemon";
"worker.py";"def threaded_migrate(guest, to_server)";"daemon";
"worker.py";"def cloudHasServer(srv)";"daemon";
"worker.py";"def cloudAddServer(srv)";"daemon";
"worker.py";"def cloudRemoveServer(ip)";"daemon";
"worker.py";"def getGuestList()";"daemon";
"worker.py";"def getShareList()";"daemon";
"worker.py";"def getMountList()";"daemon";
